h11 h12 h13
48.70 51.42 50.37 
57.29 52.04 51.60 
49.17 49.06 54.05 
54.74 48.44 47.73 
37.87 55.09 53.88 
44.82 49.76 53.82 
52.80 46.37 51.94 
51.54 54.83 46.22 
51.99 53.70 45.16 
49.08 54.11 43.64 
50.89 54.63 43.89 
32.88 45.81 52.73 
52.19 50.59 49.99 
55.67 54.51 44.58 
43.59 33.49 53.75 
50.22 51.10 44.60 
48.08 53.85 51.33 
53.63 51.52 48.71 
53.38 54.19 53.61 
55.36 51.81 55.87 
49.74 53.75 55.87 
51.23 46.09 54.94 
51.86 47.92 52.73 
49.19 56.03 44.05 
46.88 52.83 35.95 
48.57 37.48 52.57 
54.63 50.01 41.24 
53.30 42.39 51.91 
47.32 55.29 51.55 
51.04 49.01 56.36 
47.60 45.68 55.47 
48.87 48.39 53.09 
47.53 53.13 44.40 
54.01 45.76 49.39 
43.46 52.11 47.08 
50.95 43.00 53.87 
40.91 53.66 42.69 
53.79 44.01 46.62 
53.89 50.41 45.15 
48.16 48.83 49.11 
57.81 50.23 48.47 
47.30 47.49 54.56 
54.46 41.45 43.23 
54.15 44.31 49.28 
51.01 45.58 54.07 
40.33 52.27 51.34 
54.74 46.98 51.73 
49.07 53.62 41.77 
51.04 50.64 51.27 
58.34 46.65 52.66 
