h11 h12 h13 h14 h15
89.55 92.85 84.89 86.97 85.72 
89.59 93.33 84.84 78.81 88.90 
77.99 91.92 80.72 83.09 93.27 
87.08 94.64 88.24 66.94 83.96 
77.97 84.19 90.31 80.28 78.84 
70.18 80.77 89.17 85.03 72.38 
78.59 69.78 88.75 76.22 91.91 
81.49 87.12 78.15 79.75 92.27 
72.74 87.47 69.85 89.55 90.73 
76.16 84.88 75.24 82.56 94.45 
73.42 83.61 75.66 91.21 80.66 
70.87 84.42 87.82 91.26 83.02 
79.85 72.13 88.14 88.89 85.97 
80.90 87.44 78.13 87.94 90.41 
96.10 74.20 80.54 92.38 88.01 
91.97 77.84 85.66 70.54 72.89 
76.45 88.25 79.75 92.77 78.27 
89.33 75.32 72.15 93.13 83.30 
90.10 93.39 71.76 95.51 87.56 
75.41 81.69 87.64 81.39 91.76 
91.54 85.52 80.47 71.26 83.91 
91.44 76.54 81.52 71.65 87.10 
62.03 89.62 88.60 83.11 67.34 
84.65 90.66 84.79 90.98 72.45 
90.78 84.94 89.89 74.91 83.95 
86.92 93.65 82.45 88.69 84.29 
85.91 91.87 85.87 87.48 87.99 
92.42 72.44 90.61 81.19 88.07 
88.84 88.36 75.85 93.89 79.25 
84.48 91.58 75.51 85.32 70.99 
83.74 59.42 90.31 68.05 76.41 
85.81 76.53 91.65 63.25 84.39 
80.12 84.74 97.48 79.85 87.38 
87.23 84.13 82.01 79.00 83.34 
90.26 76.65 86.65 73.66 91.87 
82.76 73.62 92.19 93.08 89.94 
79.15 82.28 92.73 84.35 92.09 
71.18 83.45 88.34 88.47 82.81 
92.90 86.86 80.16 88.81 94.49 
79.20 90.35 94.17 90.39 76.36 
79.83 91.02 82.15 80.67 84.69 
74.07 80.91 96.68 91.73 90.22 
84.21 91.07 78.01 93.64 85.32 
91.81 86.28 68.68 94.45 77.09 
97.72 86.23 81.57 87.78 89.10 
78.97 79.92 87.79 91.86 79.39 
72.06 82.09 89.09 92.29 77.63 
90.63 80.62 71.79 80.70 82.46 
93.61 80.49 79.92 86.15 63.68 
90.02 74.30 93.75 67.90 69.15 
