h11 h12 h13 h14 h15 h16 h17
0.59 0.43 0.75 0.67 0.50 0.92 0.84 
0.81 0.78 0.86 0.58 0.91 0.91 0.60 
1.00 0.71 0.55 0.54 1.02 0.76 0.84 
1.25 1.06 1.80 0.89 1.10 0.97 1.14 
1.44 2.58 1.77 1.61 1.62 1.56 1.51 
1.52 0.86 0.98 1.22 0.79 1.90 0.65 
1.01 1.67 1.28 1.10 1.15 1.01 0.85 
0.86 1.60 1.76 1.28 0.97 0.94 0.94 
1.11 1.72 1.22 1.14 1.28 1.18 0.98 
1.12 1.60 0.96 0.91 1.01 1.16 0.59 
1.17 1.78 1.22 1.03 1.35 0.95 0.84 
1.02 1.61 0.94 1.10 1.19 0.89 0.72 
1.03 1.46 0.97 1.13 1.17 0.86 0.78 
1.14 1.57 1.00 0.83 0.88 1.02 0.49 
1.16 1.71 0.79 1.25 1.16 0.99 1.08 
0.93 1.41 1.05 0.97 1.01 0.97 0.85 
1.42 1.68 1.03 1.84 1.20 0.97 0.56 
1.22 1.74 1.17 1.27 0.99 1.07 0.42 
1.31 1.68 1.22 1.69 1.21 1.30 0.80 
1.02 1.78 1.21 1.14 1.19 1.00 0.82 
1.06 1.66 1.45 1.47 1.08 0.99 0.50 
0.90 1.62 0.95 1.16 1.01 1.07 0.61 
1.13 1.44 0.99 1.59 0.90 0.95 0.81 
1.43 2.01 1.55 1.27 1.26 1.46 1.08 
1.06 1.64 1.26 1.24 1.05 1.20 0.84 
1.15 1.63 1.20 1.07 1.02 0.73 0.60 
1.36 1.82 1.12 1.09 1.31 1.17 0.49 
0.91 1.67 1.24 0.88 0.94 1.08 0.66 
0.87 1.57 0.94 0.98 1.06 1.09 0.94 
1.15 1.69 1.11 1.19 1.08 1.01 0.40 
1.19 1.68 1.07 0.98 1.15 1.07 0.70 
0.79 1.66 0.97 1.04 0.99 1.14 0.78 
1.12 1.72 1.23 1.36 1.25 1.02 0.51 
1.16 2.12 1.13 1.32 1.76 1.35 0.87 
1.32 2.40 1.71 1.45 1.80 1.89 0.91 
1.06 1.52 0.93 1.12 1.04 0.95 0.48 
0.96 1.06 1.15 1.17 1.11 0.88 0.54 
1.18 1.94 0.91 0.95 1.34 1.13 0.76 
1.17 0.98 0.97 1.15 1.12 1.22 0.54 
1.29 1.09 1.80 1.14 1.39 1.16 0.64 
1.11 1.50 1.46 1.69 1.61 0.92 0.56 
1.48 1.03 1.62 1.59 1.19 1.04 0.76 
1.25 2.04 1.96 1.99 2.06 1.35 0.78 
1.60 1.01 1.67 1.77 1.37 1.24 0.76 
0.98 1.53 1.35 1.56 1.45 0.82 0.64 
1.19 1.68 1.69 1.63 1.39 0.99 0.78 
1.17 1.63 1.64 1.51 1.18 1.05 0.48 
1.03 1.67 1.79 1.65 1.38 1.10 0.61 
1.28 1.39 1.62 1.48 1.19 1.28 0.56 
1.08 1.59 1.73 1.44 1.37 1.39 0.64 
