h11 h12 h13
61.40 51.92 62.15 
57.89 54.32 62.38 
54.63 62.94 62.76 
62.26 55.24 64.37 
53.75 56.90 53.99 
67.70 60.57 62.69 
58.80 59.27 59.63 
55.60 61.24 69.34 
53.56 54.55 62.07 
56.96 53.97 58.01 
57.59 58.22 66.08 
58.58 56.30 61.92 
53.93 59.69 55.62 
60.38 50.30 53.07 
50.88 53.34 58.06 
61.19 55.64 64.21 
54.53 64.87 59.94 
61.64 51.79 63.59 
65.03 60.22 61.25 
57.93 64.41 58.17 
61.87 55.71 62.54 
61.54 64.16 56.79 
49.09 57.28 61.66 
60.01 57.54 59.32 
67.85 60.80 68.18 
59.94 62.93 53.48 
59.56 57.36 59.38 
67.82 60.88 61.49 
62.01 59.04 52.98 
61.35 52.30 50.51 
49.03 60.72 58.27 
58.47 57.87 48.43 
52.69 59.82 66.53 
56.12 50.86 58.05 
54.12 57.16 66.13 
51.56 58.71 52.41 
63.19 58.15 57.67 
56.54 62.78 62.16 
64.62 60.78 64.35 
46.90 61.68 59.71 
62.90 60.29 55.04 
51.19 56.57 51.01 
58.56 57.89 63.27 
81.56 78.17 82.35 
102.92 89.80 100.78 
92.76 84.30 82.27 
74.85 84.80 94.94 
83.51 88.06 72.96 
85.59 79.97 84.51 
86.98 92.76 78.92 
