h11 h12 h13
0.57 0.59 0.68 
0.31 0.25 0.70 
0.39 0.40 0.69 
0.95 0.34 0.76 
0.27 0.37 0.33 
0.25 0.67 0.40 
0.46 0.68 0.43 
0.39 0.73 0.44 
0.86 0.82 0.66 
0.38 0.78 0.29 
0.88 0.54 0.38 
1.18 0.85 0.45 
0.78 0.51 0.81 
0.77 0.83 0.82 
0.94 0.86 0.80 
0.85 0.90 0.95 
1.09 1.09 1.11 
0.66 0.95 0.93 
0.52 0.78 0.75 
0.48 0.98 0.91 
0.64 1.02 0.85 
0.48 1.05 0.98 
0.44 0.88 0.91 
0.39 0.88 0.83 
0.56 1.14 1.07 
0.43 0.95 0.96 
0.52 1.00 1.06 
0.53 0.86 0.87 
0.45 0.88 0.86 
0.63 1.02 1.06 
0.47 0.97 1.01 
0.46 0.82 0.80 
0.44 0.76 0.76 
0.35 0.77 0.73 
0.48 0.75 0.93 
0.31 0.65 0.70 
0.36 0.70 0.75 
0.54 0.95 0.95 
0.38 0.77 0.81 
0.40 0.82 0.78 
0.39 0.74 0.65 
0.41 0.75 0.73 
0.40 0.75 0.76 
0.41 0.76 0.78 
0.41 0.74 0.82 
0.42 0.82 0.83 
0.39 0.86 0.84 
0.30 0.72 0.75 
0.35 0.77 0.83 
0.42 0.79 0.77 
