h11 h12 h13
5.21 5.39 5.14 
6.07 6.08 5.98 
6.38 6.48 6.56 
6.46 7.14 4.65 
6.30 5.51 5.75 
5.84 5.81 6.42 
7.38 5.98 5.78 
6.11 5.90 5.90 
6.26 6.54 7.25 
5.56 6.94 6.17 
5.66 5.78 5.54 
6.10 5.42 7.20 
5.80 6.11 5.97 
7.34 5.73 7.23 
7.58 6.96 6.02 
5.90 5.92 6.00 
7.46 8.16 7.16 
6.39 7.73 7.22 
8.30 8.42 6.61 
7.32 7.25 7.17 
7.14 7.05 7.35 
8.36 8.32 6.02 
8.60 8.33 8.03 
9.40 9.12 10.50 
8.24 6.54 8.16 
8.68 8.42 8.29 
8.98 9.40 8.57 
5.69 7.47 7.59 
5.76 6.55 6.74 
6.41 6.62 6.40 
8.08 7.62 8.65 
10.33 10.38 8.39 
9.11 9.46 8.49 
8.46 10.29 10.31 
9.44 9.00 8.73 
11.43 9.10 9.44 
7.86 7.65 7.82 
10.31 10.37 9.69 
9.23 9.18 9.45 
9.07 8.83 9.17 
5.23 6.79 7.12 
6.57 7.02 6.80 
8.93 11.04 8.86 
7.40 7.18 8.12 
9.85 9.94 8.68 
8.47 8.07 8.30 
7.88 7.98 5.75 
8.39 7.10 8.54 
9.31 9.50 9.85 
8.69 9.05 10.82 
