h11 h12 h13
0.41 0.38 0.35 
0.59 0.45 0.47 
0.58 0.27 0.35 
0.43 0.62 0.40 
0.53 0.89 0.82 
0.34 0.58 0.53 
0.48 0.83 0.76 
0.34 0.54 0.58 
0.35 0.83 0.67 
0.51 0.52 0.44 
0.99 0.64 1.00 
0.83 0.74 0.95 
0.64 0.58 0.67 
0.96 0.61 0.90 
0.66 0.72 0.78 
1.00 0.84 1.01 
0.72 0.77 0.79 
0.84 0.56 0.82 
0.80 0.68 0.80 
0.79 0.68 0.78 
0.72 0.60 0.78 
0.82 0.74 0.82 
0.81 0.66 0.77 
0.84 0.76 0.80 
0.78 0.77 0.85 
0.71 0.98 0.74 
0.58 0.56 0.58 
0.62 0.72 0.64 
0.79 0.78 0.72 
0.80 0.77 0.86 
0.80 0.85 0.68 
0.84 0.88 0.93 
0.69 1.00 0.72 
0.74 0.71 0.78 
0.78 0.87 0.84 
0.74 0.82 0.80 
0.78 0.76 0.83 
0.73 0.79 0.70 
0.80 0.76 0.76 
0.87 0.83 0.79 
0.84 0.80 0.80 
0.79 0.87 0.82 
0.49 0.80 0.82 
0.52 0.89 0.86 
0.58 0.80 0.89 
0.54 0.79 0.70 
0.61 0.93 0.88 
0.62 0.90 0.95 
0.50 0.75 0.65 
0.45 0.72 0.82 
