h11 h12 h13 h14 h15
0.83 0.65 0.66 0.37 0.52 
0.53 0.50 0.71 0.62 0.38 
0.81 0.76 0.85 0.78 0.69 
1.32 0.45 0.53 0.35 1.14 
1.36 1.18 0.81 0.69 0.61 
0.96 1.04 0.55 0.98 0.59 
1.06 1.25 0.99 0.78 0.55 
0.84 0.95 0.68 0.99 0.56 
1.03 1.05 1.25 0.94 0.54 
0.88 0.97 1.03 1.10 0.67 
1.23 1.57 0.98 1.15 0.72 
2.56 1.65 1.49 2.75 1.12 
1.06 1.02 1.69 1.52 0.84 
1.26 0.93 1.38 1.33 1.43 
1.37 0.96 1.39 1.47 1.43 
1.39 1.00 1.53 1.49 1.42 
1.39 0.83 1.29 1.39 1.37 
1.33 0.94 1.23 1.20 1.18 
1.39 0.96 1.31 1.40 1.45 
1.40 0.89 1.36 1.42 1.35 
1.29 0.74 1.25 1.34 1.38 
1.32 0.89 1.42 1.38 1.44 
1.20 0.68 1.25 1.33 1.29 
1.46 0.86 1.42 1.39 1.40 
1.11 0.79 1.22 1.09 1.15 
1.28 0.96 1.37 1.32 1.27 
1.24 0.87 1.37 1.16 1.25 
1.22 0.76 1.18 1.29 1.28 
1.39 1.13 1.47 1.35 1.44 
1.29 0.92 1.31 1.49 1.22 
1.26 0.70 1.13 1.16 1.22 
1.29 0.65 1.16 1.28 1.10 
1.34 0.80 1.25 1.21 1.33 
1.29 1.22 1.46 1.56 1.60 
1.24 0.77 1.34 1.25 1.39 
1.31 0.74 1.39 1.38 1.31 
1.13 0.70 1.09 1.27 1.18 
1.09 0.88 1.22 1.21 1.19 
1.26 0.86 1.36 1.16 1.22 
1.21 0.80 1.34 1.25 1.34 
1.18 0.80 1.54 1.53 1.42 
1.28 0.86 1.40 1.39 1.44 
1.16 0.87 1.42 1.44 1.34 
1.35 0.72 1.29 1.29 1.33 
1.16 0.72 1.20 1.17 1.20 
1.24 0.80 1.31 1.33 1.24 
1.27 0.88 1.22 1.19 1.23 
1.44 1.04 1.42 1.26 1.34 
1.24 0.80 1.18 1.19 1.22 
1.37 0.87 1.33 1.45 1.47 
