h11 h12 h13 h14 h15 h16 h17
0.85 0.94 0.65 0.83 0.74 0.78 0.82 
0.61 0.73 1.16 0.54 0.49 0.69 0.75 
0.96 1.00 1.30 0.87 1.14 1.42 1.24 
1.44 1.60 1.52 1.58 2.10 1.51 1.45 
1.59 2.02 1.08 1.67 1.16 1.80 1.20 
0.72 1.24 1.14 2.07 1.12 2.00 0.62 
0.86 1.49 1.59 2.20 1.37 1.73 1.15 
0.62 1.49 1.59 1.72 1.27 1.84 0.79 
1.04 1.18 2.02 2.10 1.44 1.88 0.98 
0.79 1.33 1.80 2.37 1.93 2.01 1.37 
0.74 1.01 1.15 1.82 1.04 1.56 1.62 
0.58 1.04 1.40 1.81 1.29 1.56 1.97 
0.69 1.19 1.31 1.80 1.19 1.85 1.77 
0.74 1.17 1.21 2.04 1.23 1.83 2.01 
0.85 1.17 1.24 1.88 1.25 1.75 1.86 
0.64 0.83 1.18 1.89 1.22 1.46 1.92 
0.67 0.98 1.15 1.84 1.59 1.92 1.95 
0.99 1.08 1.20 1.79 1.17 1.84 1.90 
0.72 1.00 1.49 1.83 1.44 1.90 1.87 
0.96 1.12 1.40 1.98 1.26 1.86 2.06 
0.54 1.18 1.08 1.73 1.25 1.49 1.66 
0.81 1.26 0.99 1.87 1.22 1.72 1.81 
0.62 1.27 1.38 1.83 1.26 2.12 1.92 
0.64 0.94 1.06 1.61 0.91 1.67 1.76 
0.88 1.31 1.55 1.95 1.20 1.92 1.84 
0.97 1.08 1.06 1.54 1.13 1.66 1.77 
0.69 1.16 1.24 2.02 1.44 2.03 2.03 
0.89 1.52 1.62 2.08 1.29 1.98 2.10 
0.85 0.95 1.29 1.74 0.97 1.69 1.67 
0.74 1.13 1.30 1.89 1.46 1.93 1.90 
0.92 1.32 1.08 1.91 1.14 1.95 2.00 
0.56 1.29 1.19 1.99 1.57 1.87 2.03 
0.48 1.10 1.14 1.85 1.18 1.88 1.86 
0.88 1.22 1.09 1.66 1.34 1.95 1.93 
0.60 1.27 1.37 1.67 1.40 1.89 1.89 
0.70 1.03 1.18 1.91 1.78 1.96 1.91 
0.69 0.98 1.20 1.66 1.12 1.70 1.58 
0.72 1.14 1.09 1.87 1.17 1.91 2.05 
0.87 1.01 1.07 1.80 1.32 1.61 1.81 
0.94 1.10 1.21 1.90 1.15 1.89 1.85 
0.87 1.17 1.31 2.09 1.28 1.97 2.00 
0.72 1.17 1.33 2.02 1.24 2.01 1.91 
1.13 0.96 1.09 1.74 1.23 1.72 1.87 
0.97 1.40 1.44 1.82 1.32 2.13 1.97 
0.63 1.06 1.24 1.87 1.00 1.89 1.84 
0.91 1.14 1.37 2.00 1.35 2.18 2.15 
0.56 1.02 1.20 1.89 1.25 2.01 1.99 
0.71 1.14 1.11 1.87 1.26 1.74 1.65 
0.74 1.19 1.07 1.80 1.27 1.75 1.86 
0.86 1.29 1.07 1.89 1.24 1.53 1.72 
